344498,EC-LYM,ES,50.323483,-1.343301,7376,17,694,-10.7,5330,3714,IBS3714,IB3714,LEMD,MAD,EGKK,LGW,IBS,IB,A320,1686299213,en-route
344503,EC-MAA,ES,51.475834,-0.454652,0,180,7,0,5332,31HW,IBE31HW,IB3162,LEMD,MAD,EGLL,LHR,IBE,IB,A333,1686299209,en-route
344545,EC-MAF,ES,40.458195,-3.557587,0,247,5,0,2000,102,SWT102,WT102,LEMD,MAD,LEPA,PMI,SWT,WT,AT75,1686299207,en-route
344648,EC-MDK,ES,40.493122,-3.590042,0,270,0,0,6023,519,IBE519,IB519,LECO,LCG,LEMD,MAD,IBE,IB,A320,1686299190,landed
344649,EC-MEY,UK,38.750175,-4.795288,10058,225,720,0,2616,932,BCS932,QY932,LEMD,MAD,GMTT,TNG,DHK,QY,B734,1686299211,en-route
344692,EC-MER,ES,40.865276,1.59901,4572,73,681,-8.8,6223,5SB,VLG5SB,VY3001,GCLP,LPA,LEBL,BCN,VLG,VY,A320,1686299211,en-route
344693,EC-MES,ES,46.00058,2.691985,10668,178,777,0,7613,3AY,VLG3AY,VY8938,LFPO,ORY,LEPA,PMI,VLG,VY,A320,1686299213,en-route
344697,EC-MFN,ES,39.795551,3.647705,7962,37,848,5.2,5377,3840,VLG3840,VY3840,LEPA,PMI,EDDM,MUC,VLG,VY,A320,1686299210,en-route
344698,EC-MGE,ES,46.889648,1.492699,11277,189,775,0,7626,4HU,VLG4HU,VY8171,LFPO,ORY,LEMG,AGP,VLG,VY,A320,1686299211,en-route
344699,EC-MGY,ES,41.292881,2.081558,0,101,1,0,1462,2KX,VLG2KX,VY8006,LEBL,BCN,LFPO,ORY,VLG,VY,A321,1686299208,landed
345043,EC-MHS,ES,41.277775,2.34608,1447,28,481,-1.6,5061,14AL,VLG14AL,VY2114,LEMG,AGP,LEBL,BCN,VLG,VY,A321,1686299211,en-route
345051,EC-MEG,ES,41.017036,-3.191466,3512,234,459,-7.2,1111,36ZN,IBS36ZN,IB3673,EDDB,BER,LEMD,MAD,IBS,IB,A320,1686299210,en-route
345052,EC-MEH,ES,40.876263,-3.646774,2895,132,461,-7.5,4447,38LM,IBS38LM,IB3859,GCRR,ACE,LEMD,MAD,IBS,IB,A320,1686299212,en-route
345107,EC-MJC,ES,28.671341,-16.024775,5059,78,753,11.4,6241,6AN,VLG6AN,VY3275,GCXO,TFN,LEMG,AGP,VLG,VY,A320,1686299208,en-route
345108,EC-MJB,ES,42.56662,2.845587,8686,185,774,-11.1,7604,576L,VLG576L,VY8001,LFPO,ORY,LEBL,BCN,VLG,VY,A320,1686299207,en-route
345109,EC-MKI,ES,-4.956801,-69.651314,11582,225,875,0,6370,6653,IBE6653,IB6653,LEMD,MAD,SPJC,LIM,IBE,IB,A332,1686299179,en-route
345116,EC-MJR,ES,29.865961,-15.239707,10637,215,729,-4.2,0436,2LR,VLG2LR,VY3210,LEBL,BCN,GCXO,TFN,VLG,VY,A321,1686299211,en-route
345206,EC-MLE,ES,28.953449,-13.604191,0,208,24,0,2626,7XK,VLG7XK,VY3280,LEBB,BIO,GCRR,ACE,VLG,VY,A320,1686299210,en-route
345242,EC-MLV,ES,41.806698,12.267546,0,64,0,0,1000,541V,GES541V,LIRF,FCO,LFKF,FSC,GES,GP*,C680,1686299205,landed
345248,EC-MMH,ES,39.184479,-8.534705,6286,43,805,10.7,2057,9SD,VLG9SD,VY1984,LPPT,LIS,LFPO,ORY,VLG,VY,A321,1686299212,en-route
345249,EC-MMU,ES,40.874866,14.269617,1287,171,381,14.6,0000,874C,VLG874C,VY6501,LIRN,NAP,LEBL,BCN,VLG,VY,A321,1686299210,en-route
345251,EC-MLT,ES,40.773926,-4.283081,5349,313,507,-5.9,6213,24,AEA24,UX24,SGAS,ASU,LEMD,MAD,AEA,UX,B788,1686299211,en-route
345313,EC-MOG,ES,41.587006,1.896452,5181,342,757,6.8,5514,7SV,VLG7SV,VY8309,LEBL,BCN,EHAM,AMS,VLG,VY,A320,1686299208,en-route
345314,EC-MOO,ES,43.585648,4.727762,10378,2,868,0,1476,2QT,VLG2QT,VY8955,LEMH,MAH,LFPO,ORY,VLG,VY,A321,1686299213,en-route
345318,EC-MOU,ES,12.330266,-23.75967,11277,28,838,0,3763,6844,IBE6844,IB6844,SAEZ,EZE,LEMD,MAD,IBE,IB,A332,1686299179,en-route
345388,EC-MPA,ES,44.897026,3.035643,10066,234,740,0.3,5714,73XN,ANE73XN,IB8675,LSGG,GVA,LEMD,MAD,IBE,IB,CRJX,1686299213,en-route
345398,EC-MQE,ES,40.875656,0.765173,8717,261,725,11.7,0057,9ZT,VLG9ZT,VY2225,LEBL,BCN,LEZL,SVQ,VLG,VY,A320,1686299211,en-route
